Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	Sample_10uninfected	Sample_11infected	Sample_14uninfected	Sample_1infected	Sample_2infected	Sample_5uninfected	Sample_7infected	Sample_9uninfected
ENSMUSG00000023987	14974.8268083753	-2.15986711440176	0.429904024273127	-5.02406814649762	5.05882735005422e-07	0.000261619202110881	Pgc	progastricsin (pepsinogen C)	21402	273	26935	6540	3202	19713	6178	37080
ENSMUSG00000022057	161.400127301099	-2.03020943976525	0.407930497204432	-4.97685133540732	6.4626918803638e-07	0.000311601526201234	Adamdec1	ADAM-like, decysin 1	421	207	149	34	57	253	95	149
ENSMUSG00000024225	26.7946743266535	-3.47181587639383	0.697702306374687	-4.97607051699978	6.48880167606319e-07	0.000311601526201234	Clps	colipase, pancreatic	53	0	104	1	6	46	6	58
ENSMUSG00000035105	4971.30406158492	1.04998275064536	0.211933863721116	4.95429438320926	7.25932335945265e-07	0.00033658228238345	Egln3	egl-9 family hypoxia-inducible factor 3	2778	2420	445	4803	7931	2962	6909	4622
ENSMUSG00000027599	143.317036495283	1.5136796187796	0.311979244674085	4.85186000229245	1.22308950606419e-06	0.000548188716617968	Armc1	armadillo repeat containing 1	78	26	18	242	238	85	139	75
ENSMUSG00000059408	28.410554350423	4.44528682739184	0.932103574689834	4.76909106251529	1.85058998580101e-06	0.000802678482228401	Mrgprh	MAS-related GPR, member H	0	0	0	33	112	1	15	7
ENSMUSG00000063415	26.6024626106242	4.53549481528963	0.958733010480798	4.73071727551669	2.23727926746226e-06	0.000940076782196797	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1	3	35	0	6	109	1	36	3
ENSMUSG00000036291	20.9597173751596	-4.55619311066414	0.964922742678596	-4.72182166420525	2.3374159472683e-06	0.000952390752332412	Ap5m1	adaptor-related protein complex 5, mu 1 subunit	56	5	44	0	0	40	5	32
ENSMUSG00000021453	765.223388480551	-0.832938788458286	0.176813960551468	-4.71082026475974	2.46721754329009e-06	0.000975711973149367	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	1087	549	872	548	471	1047	586	999
ENSMUSG00000032571	419.228415381194	1.06192021277324	0.226380397242841	4.69086646064191	2.72050494793995e-06	0.00103845918402956	Pik3r4	phosphoinositide-3-kinase regulatory subunit 4	278	66	55	490	727	292	442	299
ENSMUSG00000053399	11.8776161332081	-6.97478781218912	1.48829978039059	-4.68641325093701	2.78034587424246e-06	0.00103845918402956	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18	10	0	1	0	0	37	0	30
ENSMUSG00000030653	164.809822789515	1.37347219819538	0.293684251769838	4.67669679228077	2.91532821914765e-06	0.00105944603336917	Pde2a	phosphodiesterase 2A, cGMP-stimulated	119	92	11	246	256	102	192	72
ENSMUSG00000021994	2227.61127680143	-0.975070021355328	0.209238220792494	-4.66009516646733	3.16063218223117e-06	0.00111836474532317	Wnt5a	wingless-type MMTV integration site family, member 5A	3535	1010	841	1595	1086	3522	1695	2386
ENSMUSG00000039376	38.011788685113	3.04689443294705	0.655246149308323	4.64999975377703	3.31935425154755e-06	0.00114441121195662	Synpo2l	synaptopodin 2-like	10	9	0	71	88	1	39	15
ENSMUSG00000017754	2137.39873364327	-0.89529607279428	0.193177686552791	-4.63457290938006	3.57675158148274e-06	0.00120232504411542	Pltp	phospholipid transfer protein	3199	647	820	1431	1624	3570	1311	2136
ENSMUSG00000038530	1746.35954885062	0.974221484669167	0.211194427193513	4.61291283872991	3.97064838657562e-06	0.00126147590422595	Rgs4	regulator of G-protein signaling 4	1102	1361	437	1938	3150	1321	1690	1353
ENSMUSG00000030098	43.440910624978	2.49290051175821	0.540525790065819	4.61199180052936	3.98828730888595e-06	0.00126147590422595	Grip2	glutamate receptor interacting protein 2	13	6	58	38	117	15	62	14
ENSMUSG00000040264	145.544613563797	1.40089245514342	0.303906667287544	4.6096140885845	4.03417104579175e-06	0.00126147590422595	Gbp2b	guanylate binding protein 2b	103	108	39	199	253	81	165	71
ENSMUSG00000032278	2770.59298420531	-0.982991091156576	0.21461053122208	-4.58034880934792	4.64201086608214e-06	0.00141855632057592	Paqr5	progestin and adipoQ receptor family member V	5273	2154	2092	1839	1655	3643	1937	2789
ENSMUSG00000027951	528.147593186821	1.06325691798546	0.233494198867293	4.55367595059508	5.27165402476432e-06	0.00157517022259958	Adar	adenosine deaminase, RNA-specific	288	239	48	671	659	524	756	290
ENSMUSG00000032076	351.210751974623	-1.07031082450268	0.235855818944914	-4.53798778122434	5.67935502466366e-06	0.00166010016655712	Cadm1	cell adhesion molecule 1	476	39	143	196	290	482	177	564
ENSMUSG00000004366	38.028138841568	-8.65222651995636	1.92077933363423	-4.50453957331258	6.65170021785375e-06	0.00190295236445237	Sst	somatostatin	120	0	16	0	0	10	0	109
ENSMUSG00000029231	1901.52822580897	-1.21716792045937	0.271866133877032	-4.47708547990721	7.56689578038932e-06	0.00211967668048156	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	4093	2145	492	1235	1041	2932	1058	1435
ENSMUSG00000052504	327.728966726967	-1.04763838792029	0.238390039736818	-4.39463993158807	1.10956512158695e-05	0.00303026507614496	Epha3	Eph receptor A3	473	169	68	220	167	562	236	381
ENSMUSG00000061100	11.881699095299	-6.97402032639115	1.58815027263571	-4.39128490959296	1.12682770940985e-05	0.00303026507614496	Retnla	resistin like alpha	37	0	0	0	0	37	0	2
ENSMUSG00000078921	51.1125647214247	2.3797004888493	0.553866756033416	4.2965216144977	1.73499058157166e-05	0.00457425163917893	Tgtp2	T cell specific GTPase 2	19	14	1	42	111	28	99	6
ENSMUSG00000047603	27.0808471248176	-2.97210389292507	0.69390742948324	-4.28314176595347	1.84272678594874e-05	0.00476486622382053	Zfp235	zinc finger protein 235	39	15	4	1	9	47	8	68
ENSMUSG00000021983	15.3652929719541	-5.45790232615446	1.27716069490102	-4.27346562413388	1.92457967598975e-05	0.00488262232516193	Atp8a2,LOC108168164	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2,uncharacterized LOC108168164	47	0	22	0	1	18	1	30
ENSMUSG00000020122	334.781690286837	-1.09801703156026	0.257742032785722	-4.26013956548992	2.04299292790046e-05	0.00496363115324399	Egfr	epidermal growth factor receptor	592	122	43	178	196	525	249	340
ENSMUSG00000040447	90.6113069338769	2.06657010370019	0.48515065905262	4.25964608135479	2.04750847468943e-05	0.00496363115324399	Spns2	spinster homolog 2	24	30	1	126	241	62	62	27
ENSMUSG00000030218	16.1777550288053	-5.52619650954216	1.29799096466636	-4.25749998264636	2.06725676470075e-05	0.00496363115324399	Mgp	matrix Gla protein	60	7	15	1	0	27	1	13
ENSMUSG00000038209	86.7844831836658	2.54851723396176	0.600496822482306	4.24401452022147	2.19556136008801e-05	0.00517921369258655	Itln1,Itlnb	intelectin 1 (galactofuranose binding),intelectin b	19	0	3	151	260	18	23	44
ENSMUSG00000051339	752.17676337479	1.22027552164634	0.287814859764307	4.23979332632662	2.23725673809192e-05	0.00518657829316966	2900026A02Rik	RIKEN cDNA 2900026A02 gene	229	434	145	843	1296	557	943	671
ENSMUSG00000041670	1319.51583804193	1.0060381779306	0.238028238144882	4.22654969751214	2.37301880245122e-05	0.00540806963012866	Rims1	regulating synaptic membrane exocytosis 1	640	724	283	1188	1843	950	2130	1227
ENSMUSG00000027985	86.4214025917313	-1.8320664553938	0.434886476212352	-4.21274644212944	2.52284217239258e-05	0.00564335530413206	Lef1	lymphoid enhancer binding factor 1	167	58	21	57	28	182	25	83
ENSMUSG00000044220	8.37639367418936	6.60205925710578	1.56839888927331	4.20942612383812	2.56020135023096e-05	0.00564335530413206	Nkx2-3	NK2 homeobox 3	0	0	0	16	23	0	10	0
ENSMUSG00000028184	890.43900213071	1.06515789468616	0.25480824851736	4.18023317880776	2.9121032783879e-05	0.00617757413850937	Adgrl2	adhesion G protein-coupled receptor L2	585	361	52	922	1756	777	855	487
ENSMUSG00000020310	132.70703895933	1.84673359265182	0.441944224610954	4.17865759933284	2.93234765507981e-05	0.00617757413850937	Madcam1	mucosal vascular addressin cell adhesion molecule 1	44	11	2	294	243	83	67	59
ENSMUSG00000030268	8.68898559516347	-6.52149619724818	1.56090047557999	-4.17803460199792	2.94038929692548e-05	0.00617757413850937	Bcat1	branched chain aminotransferase 1, cytosolic	28	3	0	0	0	13	0	14
ENSMUSG00000024030	270.968941125419	1.37134838575805	0.328557102349043	4.17385098649061	2.99493684792539e-05	0.00619537243956997	Abcg1	ATP binding cassette subfamily G member 1	223	68	11	325	575	134	245	123
ENSMUSG00000051705	8.68889555833501	-6.52149095569229	1.56513330427485	-4.16673195687559	3.08997464459306e-05	0.00629512107139368	Senp8	SUMO/sentrin specific peptidase 8	29	5	15	0	0	14	0	12
ENSMUSG00000031740	1439.09240151501	-1.04292556000941	0.250820233523865	-4.15805991947688	3.20961845139222e-05	0.00644127308916714	Mmp2	matrix metallopeptidase 2	2228	961	345	1089	844	2809	806	1182
ENSMUSG00000002963	73.6609037909432	1.71742273195879	0.413443408584737	4.15394875404524	3.26786390831284e-05	0.00646172031046683	Pnkp	polynucleotide kinase 3'- phosphatase	28	1	9	116	142	32	72	50
ENSMUSG00000029661	19994.0723624598	-0.756926619589589	0.182995641740719	-4.13630954480355	3.52936024589748e-05	0.00687764896613588	Col1a2	collagen, type I, alpha 2	30916	22003	17361	15004	11711	26912	16626	22358
ENSMUSG00000031778	351.040963984598	1.27719404229769	0.30916163905095	4.13115303120515	3.60948184320636e-05	0.00693329898053611	Cx3cl1	chemokine (C-X3-C motif) ligand 1	237	180	50	406	777	213	274	205
ENSMUSG00000039316	1299.34095517456	0.851250716677334	0.207252786309908	4.10730650156107	4.00299881030911e-05	0.00753220907404087	Rftn1	raftlin lipid raft linker 1	913	713	183	1504	2074	840	1312	1208
ENSMUSG00000027894	180.1211384922	1.16183531555771	0.283151592412251	4.10322719946475	4.07426792548397e-05	0.00753220907404087	Slc6a17	solute carrier family 6 (neurotransmitter transporter), member 17	86	170	132	189	277	146	263	126
ENSMUSG00000070565	1105.69584119195	1.00450297199642	0.245224862145619	4.09625257083405	4.19891815775326e-05	0.00753220907404087	Rasal2	RAS protein activator like 2	548	248	105	1402	1954	936	960	883
ENSMUSG00000001569	26.4741522490617	-2.58616231031919	0.631489439565374	-4.09533738537122	4.21554033643716e-05	0.00753220907404087	Nom1	nucleolar protein with MIF4G domain 1	46	9	1	9	4	43	9	56
ENSMUSG00000090210	71.388318536742	1.88635395938288	0.460802998696747	4.09362344584976	4.24683806858377e-05	0.00753220907404087	Itga10	integrin, alpha 10	27	51	34	99	162	20	68	50
ENSMUSG00000045215	9.05010505398031	-6.58002348650265	1.60760941680422	-4.09304860852529	4.25738427507888e-05	0.00753220907404087	Asxl3	additional sex combs like 3, transcriptional regulator	27	4	1	0	0	4	0	26
ENSMUSG00000039523	177.595675222675	1.20182806140817	0.29432710886631	4.08330739916338	4.43992290417895e-05	0.00767426327467392	Cep104	centrosomal protein 104	120	86	10	167	328	112	231	112
ENSMUSG00000020044	5582.94789375952	0.644638310296058	0.157895659121521	4.0826854511556	4.45182608526376e-05	0.00767426327467392	Timp3	tissue inhibitor of metalloproteinase 3	4716	3653	1462	5938	8092	4525	5889	4682
ENSMUSG00000040599	9.17611045643211	-6.60163880578863	1.62047984897405	-4.07387898712115	4.62365128818368e-05	0.0077795391397404	Mis12	MIS12 kinetochore complex component	24	0	1	0	0	32	0	3
ENSMUSG00000032536	881.368523433341	0.891369142184911	0.218814491187695	4.07362938965642	4.62861171485373e-05	0.0077795391397404	Trak1	trafficking protein, kinesin binding 1	419	335	211	1165	1121	782	1056	787
ENSMUSG00000028978	81.6650463036434	2.09262611347673	0.514739627554204	4.06540705525216	4.79487005164105e-05	0.00795948428572415	Nos3	nitric oxide synthase 3, endothelial cell	21	1	15	117	230	44	41	35
ENSMUSG00000036964	8.94081805806913	-6.56203484469131	1.61999922432145	-4.05064073252251	5.10775788527196e-05	0.00836649986786572	Trim17	tripartite motif-containing 17	40	0	1	0	0	9	0	7
ENSMUSG00000037664	361.307446993324	-0.810414268525737	0.200198444128737	-4.04805477911009	5.16450609127514e-05	0.00836649986786572	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	455	145	76	230	273	541	264	479
ENSMUSG00000022598	84.1795935201358	-1.73160493814142	0.428114027896622	-4.04472833242351	5.23838324006172e-05	0.00838515488641308	Psca	prostate stem cell antigen	185	0	518	31	46	162	37	66
ENSMUSG00000039167	137.072765631463	1.6862739155502	0.417236532807372	4.04152988283199	5.31036122829206e-05	0.00840036671477823	Adgrl4	adhesion G protein-coupled receptor L4	38	59	4	207	311	99	94	73
ENSMUSG00000019278	27.3671306781631	-3.054586501576	0.757246831113192	-4.0338055916135	5.4880727984793e-05	0.00858053800562241	Dpep1	dipeptidase 1 (renal)	64	0	0	11	0	60	6	32
ENSMUSG00000025439	7.86565374832256	-6.37829031992239	1.58368281022646	-4.02750492632442	5.63718866803837e-05	0.00871237227936138	Clns1a	chloride channel, nucleotide-sensitive, 1A	19	0	0	0	0	11	0	20
ENSMUSG00000045281	286.83912868523	1.17087758050095	0.291436037417761	4.01761426237947	5.87903303825639e-05	0.0089828952536813	Gpr20	G protein-coupled receptor 20	209	314	92	219	487	199	460	156
ENSMUSG00000045620	13.7980292650315	-5.29804763924891	1.32510871663778	-3.99819846683353	6.38264241612421e-05	0.00964281010418047	Odf3l1	outer dense fiber of sperm tails 3-like 1	38	6	8	0	0	36	2	12
ENSMUSG00000067704	373.425880858434	-1.21992329056704	0.305908202600091	-3.98787374839316	6.66681242423039e-05	0.00990144121839058	Wfdc13	WAP four-disulfide core domain 13	778	205	152	275	137	491	240	391
ENSMUSG00000031626	145.957620351092	1.40257135510202	0.351816504514564	3.986655933147	6.70110925831878e-05	0.00990144121839058	Sorbs2	sorbin and SH3 domain containing 2	57	86	68	166	311	107	144	94
ENSMUSG00000031283	61.319571056563	1.93550965396714	0.486454011349601	3.9788132255243	6.9260122072998e-05	0.0101225174064514	Chrdl1	chordin-like 1	16	29	29	45	138	37	103	29
ENSMUSG00000026587	13.5368540516797	-5.2721195896411	1.33211143202374	-3.95771664659595	7.56696458318923e-05	0.0109403662135013	Astn1	astrotactin 1	43	87	13	0	1	32	1	9
ENSMUSG00000037341	7.72193780255818	-6.3535276636225	1.60872101375092	-3.94942790534482	7.83382006408296e-05	0.0110899231920135	Slc9a7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	7	0	0	0	0	23	0	20
ENSMUSG00000045573	167.914412267966	-1.56979906200448	0.397479791962448	-3.94938080815133	7.83536146988904e-05	0.0110899231920135	Penk	preproenkephalin	382	131	41	78	73	319	96	100
ENSMUSG00000070469	15.3083283863738	-4.421330910822	1.12265785578961	-3.9382710306804	8.20708600772823e-05	0.011415683708526	Adamtsl3	ADAMTS-like 3	50	43	1	0	1	35	3	8
ENSMUSG00000042793	4593.87034643454	0.989076454124771	0.251345093935617	3.93513332063734	8.31505254054654e-05	0.011415683708526	Lgr6	leucine-rich repeat-containing G protein-coupled receptor 6	2612	1658	737	7831	6300	2744	3649	4492
ENSMUSG00000001506	26523.4468043279	-0.626812832510761	0.159309651766771	-3.93455654167402	8.33504461328538e-05	0.011415683708526	Col1a1	collagen, type I, alpha 1	37619	16669	12291	20557	19573	29500	20715	35531
ENSMUSG00000025902	58.2461660852189	2.15073451008473	0.546906514364687	3.93254505769258	8.40512187374736e-05	0.011415683708526	Sox17	SRY (sex determining region Y)-box 17	9	28	0	100	139	25	39	35
ENSMUSG00000035629	406.915582178377	0.90519279411653	0.230386142890489	3.92902447499545	8.52911593242805e-05	0.0114682492827428	Rubcn	RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein	227	128	83	466	640	337	446	346
ENSMUSG00000085795	5065.28772400097	0.660666784280793	0.16828007060518	3.9259954069716	8.63718034350536e-05	0.0114985670196805	Zfp703	zinc finger protein 703	3382	2720	1909	6259	5554	4075	6287	5122
ENSMUSG00000051041	130.402612659931	-1.4956026310551	0.382119723064053	-3.91396345381629	9.07933833886337e-05	0.0115262097443295	Olfml1	olfactomedin-like 1	230	102	89	66	39	265	94	122
ENSMUSG00000031274	12326.5325313468	-0.740929198271536	0.189430377703032	-3.91135364483663	9.17802667278502e-05	0.0115262097443295	Col4a5	collagen, type IV, alpha 5	19614	6951	2715	9347	7759	17526	9806	12106
ENSMUSG00000075254	5831.48614743357	0.888035794536958	0.227045065059658	3.91127547433642	9.18099821293161e-05	0.0115262097443295	Heg1	heart development protein with EGF-like domains 1	3303	2331	1007	5842	10793	4623	5560	5208
ENSMUSG00000021277	733.64593430504	0.640656509256861	0.163842735798979	3.91019172215782	9.22228924903705e-05	0.0115262097443295	Traf3	TNF receptor-associated factor 3	569	366	333	833	906	632	872	635
ENSMUSG00000003526	21.5852909906437	3.87201037172788	0.990253820058744	3.91011909602952	9.22506257116539e-05	0.0115262097443295	Prodh	proline dehydrogenase	1	19	0	50	61	8	7	0
ENSMUSG00000026308	1373.44309227163	0.945309980248656	0.241789623620478	3.90963832977569	9.24344112420971e-05	0.0115262097443295	Klhl30	kelch-like 30	674	853	400	1702	2035	847	1546	1488
ENSMUSG00000041329	1446.76752144624	0.785846332520396	0.201021858027701	3.90925812859666	9.25799979464219e-05	0.0115262097443295	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	933	743	257	1512	2370	1227	1480	1248
ENSMUSG00000026566	5314.35087434773	-0.638441633241675	0.163573405908807	-3.90308943984214	9.49725868729534e-05	0.0117156092026948	Mpzl1	myelin protein zero-like 1	6648	2541	2001	3999	3533	8185	4598	5921
ENSMUSG00000028037	141.262864166496	1.35769196307906	0.348572345499117	3.8950076809306	9.81956180475387e-05	0.0119110354328579	Ifi44	interferon-induced protein 44	84	0	0	122	308	93	167	77
ENSMUSG00000095079	176.472489623449	9.13777396636677	2.3462195123366	3.89467989602833	9.83284942025306e-05	0.0119110354328579	NA	NA	0	0	0	2	637	0	404	2
ENSMUSG00000024074	4249.96682675977	0.914471315268817	0.234989812759371	3.89153599694652	9.96116067325634e-05	0.0119587291439826	Crim1	cysteine rich transmembrane BMP regulator 1 (chordin like)	2871	2398	1243	4206	8391	3333	3691	3236
ENSMUSG00000035258	4643.45901206952	-0.676729993888421	0.174364762489953	-3.88111671317429	0.000103977923243918	0.0123724527074135	Abi3bp	ABI gene family, member 3 (NESH) binding protein	6799	2500	2100	3409	2913	6253	4105	5197
ENSMUSG00000022122	13004.9516743861	-0.512302704291682	0.132459527043115	-3.86761689195018	0.000109904149901699	0.0129629052594583	Ednrb	endothelin receptor type B	14756	3687	2021	9924	10323	17135	11059	17096
ENSMUSG00000020241	18547.81613667	-0.654134568269444	0.169991710796303	-3.84803803200308	0.000119067571975099	0.0139215875893668	Col6a2	collagen, type VI, alpha 2	27608	11264	7312	13686	13147	19840	15239	24790
ENSMUSG00000044600	433.132806960641	-0.805017893380911	0.209637424692421	-3.84004857225291	0.000123009970317312	0.0142585522490222	Smim7	small integral membrane protein 7	666	363	452	307	276	590	337	503
ENSMUSG00000032198	1293.11906775731	0.75828304205765	0.197727873037427	3.83498305225848	0.000125572952752042	0.0143913253868119	Dock6	dedicator of cytokinesis 6	822	368	193	1314	2044	1168	1401	1096
ENSMUSG00000000957	1651.52101479746	-0.553840581941668	0.144471172804289	-3.83357157826868	0.000126296028234702	0.0143913253868119	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	2084	837	594	1246	1348	2215	1315	1989
ENSMUSG00000028412	1873.00119096962	-0.893083774986828	0.234835377596627	-3.80302058457676	0.000142942473203667	0.0161512982747605	Slc44a1	solute carrier family 44, member 1	3490	1467	1187	1178	1121	2576	1529	1686
ENSMUSG00000009378	26.8178853417877	-3.32218751228451	0.874865245753008	-3.79737054181991	0.000146239106579316	0.0163860918922124	Slc16a12	solute carrier family 16 (monocarboxylic acid transporters), member 12	84	7	30	13	0	36	1	34
ENSMUSG00000021614	1360.54657328683	-0.874816285726859	0.232167637597304	-3.7680371596158	0.000164536214106126	0.0182839168171155	Vcan	versican	2407	748	417	1021	691	1827	1085	1375
ENSMUSG00000047193	311.209251907062	-0.932728955834018	0.247867732212263	-3.76301081027873	0.000167879941937402	0.0185025713056582	Dync2h1	dynein cytoplasmic 2 heavy chain 1	337	274	119	163	206	542	257	435
ENSMUSG00000032558	6.69903188064268	-6.1476579912404	1.63492430052186	-3.76020956400128	0.00016977107668219	0.0185588772119409	Nphp3	nephronophthisis 3 (adolescent)	14	0	0	0	0	18	0	11
ENSMUSG00000001583	6.78889936515964	-6.1655257254385	1.64254000124891	-3.75365331787995	0.000174275855037328	0.0188976866679993	Tnk1	tyrosine kinase, non-receptor, 1	21	0	0	0	0	10	0	12
ENSMUSG00000008999	54.5238539371275	-1.83778948649426	0.489894948475977	-3.75139505359562	0.000175853359786756	0.0189161942055418	Bmp7	bone morphogenetic protein 7	62	5	4	15	39	126	16	87
ENSMUSG00000085912	14.0805678135468	4.88510863291299	1.30843804961207	3.73354216835969	0.000188805565799092	0.0201482510931316	Trp53cor1	tumor protein p53 pathway corepressor 1	0	0	0	24	53	3	3	0
ENSMUSG00000096916	6.62349202443878	6.26400132139244	1.67877602459968	3.731290672254	0.000190501265437013	0.0201691339768982	Zfp850	zinc finger protein 850	0	0	0	7	24	0	8	0
ENSMUSG00000021133	1791.68175876879	0.594712336899725	0.159586766867023	3.72657676181431	0.000194097978344732	0.0203893860689317	Susd6	sushi domain containing 6	1472	638	484	2177	1841	1469	2269	1624
ENSMUSG00000028073	1843.3667863192	0.975241240720652	0.261930404252943	3.72328383756043	0.000196648232124208	0.0204971482879232	Pear1	platelet endothelial aggregation receptor 1	1333	867	323	1792	3853	1197	1526	1440
ENSMUSG00000016946	32.4104714604022	-2.46491420487441	0.662617757282824	-3.71996400305088	0.000199251174428302	0.0206087022412535	Kctd5	potassium channel tetramerisation domain containing 5	72	3	22	9	6	85	14	19
ENSMUSG00000059991	109.755590755106	1.41255632681018	0.380254662230932	3.71476399138093	0.000203393435099951	0.0208765505981217	Nptx2	neuronal pentraxin 2	44	63	6	192	103	54	169	94
ENSMUSG00000039501	1206.57462854433	0.770244434761912	0.207657521206815	3.70920557216318	0.000207910573162552	0.0211785270207854	Znfx1	zinc finger, NFX1-type containing 1	871	490	522	1222	2043	1045	1191	943
